iter	Passed	Remaining
455	669	14016
456	670	14009
457	672	14002
458	673	13997
459	674	13991
460	676	13990
461	677	13984
462	678	13983
463	680	13978
464	682	13996
465	683	13991
466	685	13984
467	686	13984
468	687	13979
469	689	13974
470	690	13967
471	691	13961
472	693	13961
473	694	13959
474	696	13974
475	698	13968
476	699	13961
477	700	13955
478	701	13949
479	703	13949
480	704	13931
481	705	13928
482	706	13922
483	707	13917
484	709	13919
485	711	13924
486	712	13920
487	714	13916
488	715	13910
489	716	13903
490	717	13900
491	719	13895
492	720	13892
493	721	13887
494	723	13886
495	724	13887
496	726	13887
497	727	13885
498	729	13882
499	730	13876
500	731	13870
501	732	13865
502	734	13864
503	735	13859
504	737	13865
505	739	13875
506	740	13869
507	742	13873
508	743	13867
509	745	13866
510	746	13861
511	747	13855
512	749	13850
513	750	13850
514	752	13855
515	753	13855
516	755	13857
517	757	13857
518	758	13863
519	760	13866
520	762	13872
521	764	13878
522	765	13878
523	767	13876
524	768	13870
525	770	13868
526	771	13863
527	772	13858
528	773	13852
529	775	13847
530	776	13844
531	778	13845
532	780	13856
533	781	13853
534	782	13846
535	784	13844
536	785	13840
537	786	13837
538	788	13830
539	789	13823
540	790	13818
541	791	13811
542	794	13829
543	795	13828
544	796	13824
545	798	13819
546	799	13812
547	800	13806
548	801	13803
549	803	13802
550	804	13796
551	805	13790
552	807	13797
553	809	13793
554	810	13787
555	811	13775
556	812	13773
557	813	13770
558	815	13765
559	816	13758
560	817	13757
561	818	13751
562	821	13762
563	822	13762
564	823	13757
565	825	13751
566	826	13747
567	827	13743
568	829	13741
569	830	13743
570	832	13745
571	835	13762
572	847	13939
573	851	13978
574	854	14000
575	861	14089
576	867	14160
577	869	14170
578	872	14187
579	873	14193
580	875	14195
581	879	14225
582	881	14237
583	883	14250
584	886	14264
585	889	14280
586	893	14327
587	896	14350
588	899	14371
589	902	14388
590	908	14461
591	911	14491
592	915	14513
593	920	14572
594	925	14622
595	937	14786
596	946	14902
597	958	15068
598	962	15111
599	965	15130
600	970	15178
601	973	15193
602	975	15199
603	977	15200
604	978	15200
605	981	15216
606	983	15220
607	986	15231
608	987	15228
609	989	15227
610	991	15241
611	998	15313
612	1002	15344
613	1004	15351
614	1005	15344
615	1006	15337
616	1008	15341
617	1011	15352
618	1013	15355
619	1015	15356
620	1017	15372
621	1019	15372
622	1021	15379
623	1024	15388
624	1026	15395
625	1028	15402
626	1030	15403
627	1031	15398
628	1033	15395
629	1034	15390
630	1038	15416
631	1040	15419
632	1042	15422
633	1044	15427
634	1045	15419
635	1046	15413
636	1048	15409
637	1050	15412
638	1053	15425
639	1054	15427
640	1056	15429
641	1059	15439
642	1061	15444
643	1062	15441
644	1065	15452
645	1067	15457
646	1069	15463
647	1071	15465
648	1073	15466
649	1075	15468
650	1077	15479
651	1081	15499
652	1082	15499
653	1085	15506
654	1087	15508
655	1088	15506
656	1090	15501
657	1091	15497
658	1094	15509
659	1095	15508
660	1097	15506
661	1099	15505
662	1100	15503
663	1102	15499
664	1103	15492
665	1105	15488
666	1107	15492
667	1109	15498
668	1111	15497
669	1112	15496
670	1114	15488
671	1115	15480
672	1116	15474
673	1118	15474
674	1121	15489
675	1122	15486
676	1124	15484
677	1126	15481
678	1128	15484
679	1129	15477
680	1130	15469
681	1131	15461
682	1134	15469
683	1136	15478
684	1138	15475
685	1139	15471
686	1141	15473
687	1145	15497
688	1146	15497
689	1149	15504
690	1151	15506
691	1152	15505
692	1154	15504
693	1156	15500
694	1158	15504
695	1163	15552
696	1165	15552
697	1167	15555
698	1169	15559
699	1170	15555
700	1172	15558
701	1179	15617
702	1181	15621
703	1183	15620
704	1185	15633
705	1188	15642
706	1191	15661
707	1195	15689
708	1197	15686
709	1198	15682
710	1200	15678
711	1201	15678
712	1206	15708
713	1209	15722
714	1210	15724
715	1212	15726
716	1215	15737
717	1217	15733
718	1222	15777
719	1224	15781
720	1226	15778
721	1227	15776
722	1229	15776
723	1231	15774
724	1234	15788
725	1236	15788
726	1238	15790
727	1240	15801
728	1242	15798
729	1244	15796
730	1245	15793
731	1249	15814
732	1251	15818
733	1253	15816
734	1254	15815
735	1256	15810
736	1257	15806
737	1259	15806
738	1263	15828
739	1264	15825
740	1266	15822
741	1267	15819
742	1269	15815
743	1271	15818
744	1273	15815
745	1276	15828
746	1277	15825
747	1279	15824
748	1281	15820
749	1282	15815
750	1284	15814
751	1285	15810
752	1287	15810
753	1290	15826
754	1292	15823
755	1293	15819
756	1295	15815
757	1296	15811
758	1298	15808
759	1300	15807
760	1304	15839
761	1306	15835
762	1307	15832
763	1309	15829
764	1311	15825
765	1312	15822
766	1315	15829
767	1318	15845
768	1320	15845
769	1321	15841
770	1323	15838
771	1325	15837
772	1326	15834
773	1332	15876
774	1333	15874
775	1335	15872
776	1337	15876
777	1339	15873
778	1340	15869
779	1344	15893
780	1347	15906
781	1349	15906
782	1351	15905
783	1353	15904
784	1354	15903
785	1358	15924
786	1362	15944
787	1363	15941
788	1365	15940
789	1366	15932
790	1368	15927
791	1370	15926
792	1374	15953
793	1376	15956
794	1377	15953
795	1379	15954
796	1381	15949
797	1382	15944
798	1387	15972
799	1388	15971
800	1390	15970
801	1392	15971
802	1394	15971
803	1396	15975
804	1399	15985
805	1401	15986
806	1403	15991
807	1405	15989
808	1407	15986
809	1409	15985
810	1410	15982
811	1413	15990
812	1415	15988
813	1416	15987
814	1418	15989
815	1420	15989
816	1422	15984
817	1423	15974
818	1424	15967
819	1427	15980
820	1430	15989
821	1432	15989
822	1434	15992
823	1436	15992
824	1438	15990
825	1440	15999
826	1442	16000
827	1444	16000
828	1446	16003
829	1448	15999
830	1450	15997
831	1451	15993
832	1455	16017
833	1457	16015
834	1458	16009
835	1460	16008
836	1462	16011
837	1464	16007
838	1466	16009
839	1470	16033
840	1472	16034
841	1474	16031
842	1475	16030
843	1477	16026
844	1479	16026
845	1481	16027
846	1483	16028
847	1486	16041
848	1488	16038
849	1489	16033
850	1491	16028
851	1492	16024
852	1495	16034
853	1499	16052
854	1501	16056
855	1503	16057
856	1504	16053
857	1506	16049
858	1508	16050
859	1512	16074
860	1514	16072
861	1516	16069
862	1517	16066
863	1519	16063
864	1521	16061
865	1525	16089
866	1527	16092
867	1529	16090
868	1531	16085
869	1532	16081
870	1535	16087
871	1540	16124
872	1542	16123
873	1544	16122
874	1546	16124
875	1548	16122
876	1550	16127
877	1554	16145
878	1557	16160
879	1560	16165
880	1561	16165
881	1563	16161
882	1567	16185
883	1571	16208
884	1573	16206
885	1575	16201
886	1576	16200
887	1583	16243
888	1584	16238
889	1586	16233
890	1587	16230
891	1589	16226
892	1590	16222
893	1592	16219
894	1595	16228
895	1596	16224
896	1598	16220
897	1599	16214
898	1601	16213
899	1603	16215
900	1605	16216
901	1608	16226
902	1610	16222
903	1612	16220
904	1613	16215
905	1615	16211
906	1616	16206
907	1618	16206
908	1622	16226
909	1624	16227
910	1627	16233
911	1629	16237
912	1632	16247
913	1635	16254
914	1636	16250
915	1638	16246
916	1640	16243
917	1641	16233
918	1642	16229
919	1644	16233
920	1646	16233
921	1648	16229
922	1649	16224
923	1651	16217
924	1652	16210
925	1653	16202
926	1654	16195
927	1656	16191
928	1658	16190
929	1659	16186
930	1661	16184
931	1663	16182
932	1664	16177
933	1666	16171
934	1667	16166
935	1668	16158
936	1670	16152
937	1671	16144
938	1673	16143
939	1674	16142
