iter	RMSE
136	38305.99813
137	38177.76401
138	38045.86088
139	37923.24676
140	37797.98503
141	37677.54701
142	37556.69098
143	37436.63537
144	37311.92712
145	37196.34453
146	37078.95452
147	36954.28121
148	36831.91883
149	36710.17303
150	36594.22268
151	36477.58022
152	36355.74921
153	36239.54172
154	36133.03958
155	36021.31036
156	35907.95751
157	35798.60085
158	35683.52369
159	35576.62662
160	35469.27807
161	35361.6367
162	35259.58637
163	35154.26092
164	35056.18532
165	34953.94245
166	34850.35682
167	34747.73267
168	34650.09628
169	34556.20055
170	34447.68188
171	34363.03503
172	34259.39785
173	34165.37086
174	34091.62248
175	33994.60747
176	33901.97579
177	33808.27909
178	33717.39229
179	33628.25497
180	33535.2073
181	33445.59573
182	33360.24856
183	33264.72551
184	33182.37569
185	33100.74447
186	33002.58875
187	32920.24452
188	32836.17901
189	32754.57384
190	32669.57122
191	32585.79608
192	32493.85685
193	32415.85027
194	32325.20704
195	32238.02819
196	32160.24462
197	32074.30379
198	31997.08204
199	31927.94721
200	31844.09061
201	31764.18707
202	31683.76526
203	31597.30934
204	31517.61103
205	31435.3339
206	31358.73344
207	31284.08497
208	31205.63214
209	31123.96113
210	31045.83608
211	30967.90629
212	30897.51134
213	30826.96621
214	30750.85881
215	30680.76537
216	30631.06911
217	30562.70855
218	30492.6456
219	30434.2232
220	30371.45879
221	30296.78483
222	30227.55346
223	30160.54933
224	30099.19191
225	30039.48086
226	29969.84075
227	29904.22236
228	29841.26125
229	29779.27262
230	29712.72036
231	29643.54785
232	29580.59551
233	29518.47824
234	29461.25488
235	29408.54763
236	29346.302
237	29280.91637
238	29225.44486
239	29160.38872
240	29099.57372
241	29033.42871
242	28974.8006
243	28918.79308
244	28858.74158
245	28795.4899
246	28743.32202
247	28686.86022
248	28632.99371
249	28572.56379
250	28517.92697
251	28454.49091
252	28396.77204
253	28338.50584
254	28281.5395
255	28226.15758
256	28173.29461
257	28119.63935
258	28065.02824
259	28017.96888
260	27969.54707
261	27917.17857
262	27861.51071
263	27811.39326
264	27761.8094
265	27711.21061
266	27664.20712
267	27621.48277
268	27574.67172
269	27527.82162
270	27480.9988
271	27435.09518
272	27382.93386
273	27334.1209
274	27283.29795
275	27235.0145
276	27192.73168
277	27147.7181
278	27099.0103
279	27051.30305
280	27002.62274
281	26958.43812
282	26918.44908
283	26875.51939
284	26835.67487
285	26791.00933
286	26742.01957
287	26696.9407
288	26654.69038
289	26612.605
290	26570.33146
291	26528.02736
292	26485.55643
293	26448.63623
294	26406.01548
295	26366.44124
296	26329.21205
297	26289.90732
298	26251.11591
299	26211.40955
300	26175.00156
301	26138.62012
302	26101.17623
303	26062.75421
304	26018.59209
305	25979.2552
306	25939.56305
307	25900.08812
308	25859.90189
309	25823.88021
310	25791.81516
311	25755.16387
312	25713.92698
313	25679.63757
314	25644.00984
315	25606.96588
316	25573.01843
317	25536.82191
318	25502.40364
319	25470.04969
320	25442.33398
321	25408.92616
322	25377.0122
323	25346.57637
324	25312.36706
325	25280.7874
326	25246.40865
327	25213.80918
328	25180.51305
329	25151.56562
330	25124.03789
331	25098.92012
332	25062.98743
333	25029.76774
334	25001.55702
335	24977.05816
336	24946.36999
337	24916.9436
338	24887.31872
339	24854.77486
340	24823.85017
341	24794.77242
342	24772.49892
343	24743.1377
344	24709.99341
345	24685.5197
346	24657.56022
347	24629.10676
348	24600.88745
349	24571.79669
350	24545.6624
351	24512.98668
352	24483.69381
353	24455.28563
354	24426.24542
355	24403.14138
356	24379.96837
357	24353.13665
358	24323.52006
359	24297.54892
360	24274.03048
361	24250.21607
362	24224.17361
363	24198.21715
364	24174.71733
365	24147.74285
366	24123.58177
367	24098.38266
368	24078.5472
369	24053.78555
370	24031.45686
371	24009.76567
372	23983.0256
373	23958.60255
374	23934.76644
375	23912.83013
376	23889.31279
377	23865.96174
378	23841.19204
379	23823.26998
380	23796.07944
381	23775.32532
382	23755.72364
383	23733.53155
384	23706.74743
385	23683.17803
386	23661.25805
387	23639.40324
388	23617.08723
389	23594.66162
390	23579.35522
391	23555.07092
392	23531.36753
393	23510.56536
394	23490.6394
395	23466.72147
396	23443.6273
397	23425.08793
398	23403.44358
399	23386.64609
400	23367.711
401	23348.42525
402	23326.29218
403	23306.91881
404	23288.01999
405	23266.7424
406	23248.46795
407	23227.46946
408	23207.42796
409	23191.56851
410	23172.57879
411	23151.99855
412	23133.28672
413	23114.2846
414	23093.26109
415	23077.9933
416	23060.5868
417	23045.62368
418	23025.57435
419	23007.67975
420	22991.18539
421	22971.10816
422	22954.58879
423	22939.5085
424	22922.48894
425	22904.51107
426	22888.51751
427	22870.6472
428	22854.29796
429	22837.37915
430	22819.95084
431	22801.03054
432	22783.91687
433	22770.049
434	22751.64758
435	22735.98208
436	22718.6994
437	22704.70206
438	22688.76601
439	22672.37818
440	22658.52196
441	22649.96516
442	22631.81644
443	22614.98239
444	22600.83999
445	22585.2794
446	22569.93373
447	22556.00744
448	22541.84243
449	22525.98825
450	22511.49821
451	22498.42475
452	22483.90863
453	22468.20242
454	22455.43056
455	22442.76506
456	22424.94481
457	22413.00031
458	22399.0715
459	22387.83005
460	22373.16673
461	22359.61865
462	22343.35491
463	22326.91318
464	22312.2738
465	22299.55493
466	22286.59008
467	22271.90333
468	22258.35748
469	22244.51497
470	22230.60023
471	22218.32816
472	22203.53732
473	22189.64044
474	22177.95203
475	22163.34805
476	22149.36673
477	22137.53642
478	22127.41865
479	22115.87715
480	22108.29431
481	22093.85756
482	22082.33992
483	22067.52368
